City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
404,codrington,-38.2667,141.9667,292.44,61,73,7.62,AU,1704331811
405,kokuy,52.2037,117.5529,253.61,95,100,0.58,RU,1704331811
406,chachersk,52.9164,30.9179,260.1,93,100,5.89,BY,1704331811
407,as sulayyil,20.4607,45.5779,293.29,37,98,1.43,SA,1704331812
408,sargodha,32.0836,72.6711,283.06,42,100,1.4,PK,1704331812
409,kishangarh,26.5667,74.8667,280.32,56,0,1.86,IN,1704331812
410,srivardhan,18.0333,73.0167,295.09,68,21,2.05,IN,1704331812
411,castillos,-34.1667,-53.8333,292.57,84,4,4.53,UY,1704331813
412,barra do corda,-5.5,-45.25,296.74,96,98,0.42,BR,1704331815
413,garachico,28.7781,-17.7646,290.21,68,0,3.6,ES,1704331818
414,kavieng,-2.5744,150.7967,302.2,75,90,3.21,PG,1704331818
415,quellon,-43.1167,-73.6167,286.24,86,93,0.55,CL,1704331818
416,mahalapye,-23.1041,26.8142,296.41,56,85,2.18,BW,1704331819
417,queenstown,-31.8976,26.8753,288.37,94,30,1.3,ZA,1704331819
418,hailey,43.5196,-114.3153,274.2,68,100,3.13,US,1704331819
419,chu,43.5983,73.7614,268.68,90,44,1.48,KZ,1704331829
420,rada tilly,-45.9333,-67.5333,294.42,46,0,1.03,AR,1704331830
421,ribeira brava,32.65,-17.0667,292.43,82,75,2.07,PT,1704331830
422,sodankyla,67.4167,26.6,248.46,100,100,3.46,FI,1704331831
423,aioun,16.6614,-9.6149,293.63,13,15,4.23,MR,1704331831
424,waingapu,-9.6567,120.2641,304.27,62,99,2.95,ID,1704331831
425,terrace,54.5163,-128.6035,275.1,93,100,1.54,CA,1704331831
426,pervomaysk,48.0443,30.8507,277.94,90,26,3.96,UA,1704331836
427,cut off,29.5427,-90.3381,285.15,83,91,3.93,US,1704331837
428,shubarshi,48.5872,57.1869,273.31,98,100,4.77,KZ,1704331837
429,sinop,41.7711,34.8709,281.56,81,98,5.07,TR,1704331838
430,dapa,9.7594,126.0531,300.98,67,18,1.37,PH,1704331838
431,senanga,-16.1167,23.2667,293.98,82,100,1.87,ZM,1704331839
432,kyzylorda,44.8528,65.5092,267.16,86,0,3.0,KZ,1704331779
433,boyolangu,-8.1181,111.8935,299.22,86,97,1.06,ID,1704331839
434,sur,22.5667,59.5289,294.36,71,45,1.69,OM,1704331839
435,kosong,38.3788,128.4676,277.42,54,3,4.11,KR,1704331840
436,walvis bay,-22.9575,14.5053,291.68,88,54,0.0,NA,1704331840
437,zhalantun,48.0,122.7167,259.21,91,100,5.52,CN,1704331841
438,suva,-18.1416,178.4415,304.86,62,40,3.6,FJ,1704331841
